para,累积净值,年化收益,最大回撤,最大回撤开始时间,最大回撤结束时间,年化收益/回撤比,盈利笔数,亏损笔数,胜率,每笔交易平均盈亏,盈亏收益比,单笔最大盈利,单笔最大亏损,单笔最长持有时间,单笔最短持有时间,平均持仓周期,最大连续盈利笔数,最大连续亏损笔数,月化收益,币种原始累积净值,币种原始年化收益,币种原始最大回撤,币种原始年化收益/回撤比,回测区间
"[286, 1.0]",36.23,8.01,-60.93%,2023-10-26 20:00:00,2024-01-21 02:00:00,13.15,27.0,47.0,36.49%,11.22%,7.1,561.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 7 小时 46 分钟,5.0,8.0,0.198054121070123,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[288, 1.0]",34.95,7.82,-61.17%,2023-10-26 20:00:00,2024-01-21 02:00:00,12.78,27.0,47.0,36.49%,11.17%,7.03,561.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 8 小时 8 分钟,5.0,8.0,0.19589589094638682,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[290, 1.0]",32.12,7.37,-62.32%,2023-10-26 20:00:00,2024-01-21 02:00:00,11.83,27.0,47.0,36.49%,11.06%,6.86,561.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 8 小时 5 分钟,5.0,8.0,0.1908198743377547,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[292, 1.0]",31.42,7.26,-62.32%,2023-10-26 20:00:00,2024-01-21 02:00:00,11.65,27.0,47.0,36.49%,10.90%,6.78,550.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 8 小时 2 分钟,5.0,8.0,0.18949574806787606,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[294, 1.0]",31.11,7.21,-62.32%,2023-10-26 20:00:00,2024-01-21 02:00:00,11.57,27.0,47.0,36.49%,10.88%,6.77,550.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 8 小时 0 分钟,5.0,8.0,0.18889414057245824,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[280, 1.0]",29.81,7.0,-60.89%,2023-10-26 20:00:00,2024-01-21 02:00:00,11.49,29.0,48.0,37.66%,10.59%,6.2,561.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 2 小时 24 分钟,3.0,8.0,0.18634746251202117,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[282, 1.0]",30.27,7.07,-62.32%,2023-10-26 20:00:00,2024-01-21 02:00:00,11.35,28.0,49.0,36.36%,10.59%,6.65,561.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 1 小时 59 分钟,5.0,8.0,0.1872644346466048,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[296, 1.0]",29.88,7.01,-62.32%,2023-10-26 20:00:00,2024-01-21 02:00:00,11.25,27.0,47.0,36.49%,10.83%,6.74,550.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 7 小时 55 分钟,5.0,8.0,0.1864932585724708,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[284, 1.0]",28.93,6.85,-61.93%,2023-10-26 20:00:00,2024-01-21 02:00:00,11.06,27.0,50.0,35.06%,10.50%,7.02,561.98%,-15.35%,35 天 22 小时 0 分钟,0 天 0 小时 0 分钟,6 天 1 小时 52 分钟,5.0,8.0,0.18456081759430965,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
"[266, 1.5]",22.07,5.65,-53.11%,2023-10-26 20:00:00,2024-01-21 02:00:00,10.64,23.0,36.0,38.98%,12.98%,6.31,554.71%,-18.74%,35 天 16 小时 0 分钟,0 天 5 小时 0 分钟,6 天 21 小时 44 分钟,3.0,5.0,0.16854114745001114,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
