para,累积净值,年化收益,最大回撤,最大回撤开始时间,最大回撤结束时间,年化收益/回撤比,盈利笔数,亏损笔数,胜率,每笔交易平均盈亏,盈亏收益比,单笔最大盈利,单笔最大亏损,单笔最长持有时间,单笔最短持有时间,平均持仓周期,最大连续盈利笔数,最大连续亏损笔数,月化收益,币种原始累积净值,币种原始年化收益,币种原始最大回撤,币种原始年化收益/回撤比,回测区间
164,65.03,11.89,-59.43%,2024-03-14 06:00:00,2024-05-08 21:00:00,20.01,25.0,21.0,54.35%,20.65%,4.67,629.12%,-18.17%,37 天 6 小时 0 分钟,0 天 3 小时 0 分钟,12 天 22 小时 5 分钟,4.0,3.0,0.23385264517892157,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
144,78.49,13.47,-72.63%,2024-03-14 06:00:00,2024-05-08 21:00:00,18.54,27.0,25.0,51.92%,19.98%,4.94,682.84%,-36.72%,37 天 5 小时 0 分钟,0 天 3 小时 0 分钟,11 天 10 小时 11 分钟,4.0,4.0,0.2455905295975911,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
170,52.74,10.34,-56.91%,2024-03-14 06:00:00,2024-04-08 09:00:00,18.17,24.0,22.0,52.17%,19.58%,4.73,593.15%,-23.66%,37 天 6 小时 0 分钟,0 天 3 小时 0 分钟,12 天 22 小时 5 分钟,4.0,4.0,0.22090833583945102,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
166,53.62,10.46,-60.71%,2024-03-14 06:00:00,2024-04-08 09:00:00,17.22,23.0,23.0,50.00%,19.93%,5.06,608.90%,-19.12%,37 天 6 小时 0 分钟,0 天 3 小时 0 分钟,12 天 22 小时 5 分钟,4.0,4.0,0.22193023884624163,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
142,61.23,11.43,-68.78%,2024-03-14 06:00:00,2024-05-08 21:00:00,16.61,27.0,25.0,51.92%,19.80%,4.77,708.60%,-39.71%,37 天 5 小时 0 分钟,0 天 3 小时 0 分钟,11 天 10 小时 11 分钟,4.0,4.0,0.23012556634950476,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
140,65.7,11.97,-72.22%,2024-03-14 06:00:00,2024-05-08 21:00:00,16.58,27.0,25.0,51.92%,19.74%,4.83,692.38%,-42.26%,37 天 5 小时 0 分钟,0 天 3 小时 0 分钟,11 天 10 小时 11 分钟,4.0,4.0,0.23448985557862767,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
134,52.64,10.33,-66.01%,2024-03-14 06:00:00,2024-05-08 21:00:00,15.65,31.0,31.0,50.00%,13.77%,4.38,536.38%,-28.28%,37 天 4 小时 0 分钟,0 天 3 小时 0 分钟,9 天 13 小时 48 分钟,4.0,4.0,0.2208026754320176,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
168,43.53,9.08,-59.18%,2024-03-14 06:00:00,2024-05-08 21:00:00,15.35,23.0,23.0,50.00%,19.06%,4.85,591.38%,-19.47%,37 天 6 小时 0 分钟,0 天 3 小时 0 分钟,12 天 22 小时 5 分钟,4.0,4.0,0.2091771816278074,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
172,43.62,9.1,-61.13%,2024-03-14 06:00:00,2024-04-08 09:00:00,14.88,22.0,24.0,47.83%,18.53%,5.3,554.83%,-23.91%,37 天 7 小时 0 分钟,0 天 3 小时 0 分钟,12 天 22 小时 5 分钟,4.0,4.0,0.20930603180352958,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
174,42.94,9.0,-64.09%,2024-03-14 06:00:00,2024-04-08 09:00:00,14.04,20.0,24.0,45.45%,19.66%,5.83,551.96%,-26.63%,41 天 10 小时 0 分钟,0 天 3 小时 0 分钟,13 天 12 小时 13 分钟,4.0,4.0,0.20833907106101357,12.12,3.61,-67.21%,5.37,2021-01-01_2025-01-01
